id,transaction_id,date,customer_id,product_id,quantity,total_revenue
1,TXN-100000,2023-12-13,CUST-7180,PROD-1003,3,1576.92
2,TXN-100001,2023-10-12,CUST-8266,PROD-1055,4,626.52
3,TXN-100002,2023-12-01,CUST-7519,PROD-1066,4,1736.84
4,TXN-100003,2023-12-27,CUST-7843,PROD-1040,2,951.06
5,TXN-100004,2023-12-06,CUST-7244,PROD-1007,3,1506.21
6,TXN-100005,2023-12-05,CUST-8302,PROD-1035,5,2651.15
7,TXN-100006,2023-12-05,CUST-5148,PROD-1016,4,949.96
8,TXN-100007,2023-12-17,CUST-8234,PROD-1097,3,1896.06
9,TXN-100008,2023-11-13,CUST-5590,PROD-1115,5,3790.55
10,TXN-100009,2023-11-06,CUST-8003,PROD-1053,3,2038.53
11,TXN-100010,2023-10-01,CUST-8073,PROD-1102,3,349.17
12,TXN-100011,2023-10-12,CUST-5033,PROD-1007,2,1004.14
13,TXN-100012,2023-10-15,CUST-5686,PROD-1035,4,2120.92
14,TXN-100013,2023-12-07,CUST-7229,PROD-1098,1,304.65
15,TXN-100014,2023-10-02,CUST-7658,PROD-1016,3,712.47
16,TXN-100015,2023-12-31,CUST-7778,PROD-1039,3,540.99
17,TXN-100016,2023-12-05,CUST-8495,PROD-1007,2,1004.14
18,TXN-100017,2023-10-17,CUST-6868,PROD-1116,1,415.03
19,TXN-100018,2023-11-24,CUST-7032,PROD-1061,3,2360.79
20,TXN-100019,2023-12-21,CUST-8162,PROD-1109,3,2010
21,TXN-100020,2023-11-19,CUST-7382,PROD-1113,4,2161.36
22,TXN-100021,2023-10-14,CUST-6996,PROD-1096,2,918.3
23,TXN-100022,2023-11-09,CUST-7577,PROD-1011,4,1543.76
24,TXN-100023,2023-10-05,CUST-6144,PROD-1050,5,847.6
25,TXN-100024,2023-11-27,CUST-5184,PROD-1023,3,163.29
26,TXN-100025,2023-10-03,CUST-7101,PROD-1111,1,572.87
27,TXN-100026,2023-12-19,CUST-6584,PROD-1079,2,1039.96
28,TXN-100027,2023-12-19,CUST-6064,PROD-1114,2,1477.12
29,TXN-100028,2023-12-26,CUST-7785,PROD-1059,3,426.99
30,TXN-100029,2023-10-04,CUST-5728,PROD-1107,1,290.62
31,TXN-100030,2023-10-18,CUST-8328,PROD-1020,3,1235.25
32,TXN-100031,2023-12-25,CUST-8218,PROD-1060,3,1864.98
33,TXN-100032,2023-11-07,CUST-5236,PROD-1054,1,593.76
34,TXN-100033,2023-11-03,CUST-7226,PROD-1085,1,190.54
35,TXN-100034,2023-10-02,CUST-7053,PROD-1007,1,502.07
36,TXN-100035,2023-11-26,CUST-5866,PROD-1063,5,1307.55
37,TXN-100036,2023-10-18,CUST-5950,PROD-1012,2,705.16
38,TXN-100037,2023-12-02,CUST-5217,PROD-1009,2,1148.3
39,TXN-100038,2023-11-12,CUST-6388,PROD-1012,1,352.58
40,TXN-100039,2023-10-13,CUST-5796,PROD-1041,3,398.94
41,TXN-100040,2023-12-11,CUST-7765,PROD-1105,3,1969.89
42,TXN-100041,2023-11-24,CUST-5195,PROD-1013,5,2837.4
43,TXN-100042,2023-11-12,CUST-7129,PROD-1112,2,336.88
44,TXN-100043,2023-10-11,CUST-5462,PROD-1089,2,199.82
45,TXN-100044,2023-10-29,CUST-8495,PROD-1017,1,428.7
46,TXN-100045,2023-11-18,CUST-5005,PROD-1048,5,1676.25
47,TXN-100046,2023-11-02,CUST-7164,PROD-1019,1,796.74
48,TXN-100047,2023-10-02,CUST-5044,PROD-1025,4,3159.08
49,TXN-100048,2023-10-31,CUST-7483,PROD-1011,3,1157.82
50,TXN-100049,2023-12-13,CUST-7280,PROD-1095,3,800.58
51,TXN-100050,2023-12-20,CUST-6590,PROD-1118,1,564.73
52,TXN-100051,2023-12-07,CUST-7819,PROD-1014,4,206.72
53,TXN-100052,2023-10-20,CUST-6336,PROD-1064,4,2630.96
54,TXN-100053,2023-11-23,CUST-7291,PROD-1084,4,1570.68
55,TXN-100054,2023-11-07,CUST-8410,PROD-1069,5,1764.8
56,TXN-100055,2023-11-22,CUST-8016,PROD-1118,4,2258.92
57,TXN-100056,2023-10-21,CUST-7131,PROD-1078,1,213.34
58,TXN-100057,2023-12-06,CUST-8246,PROD-1117,4,798.64
59,TXN-100058,2023-11-23,CUST-5163,PROD-1049,1,735.3
60,TXN-100059,2023-12-23,CUST-7868,PROD-1013,4,2269.92
61,TXN-100060,2023-12-14,CUST-7698,PROD-1092,2,227.28
62,TXN-100061,2023-10-11,CUST-5309,PROD-1004,4,1581.4
63,TXN-100062,2023-10-01,CUST-5025,PROD-1064,4,2630.96
64,TXN-100063,2023-12-19,CUST-6809,PROD-1055,4,626.52
65,TXN-100064,2023-11-29,CUST-5040,PROD-1030,4,2748.52
66,TXN-100065,2023-12-08,CUST-6522,PROD-1037,4,1025.64
67,TXN-100066,2023-12-23,CUST-6315,PROD-1095,4,1067.44
68,TXN-100067,2023-10-05,CUST-5831,PROD-1030,5,3435.65
69,TXN-100068,2023-12-12,CUST-5637,PROD-1105,1,656.63
70,TXN-100069,2023-11-03,CUST-6282,PROD-1024,4,2199.96
71,TXN-100070,2023-11-27,CUST-5185,PROD-1090,2,314.76
72,TXN-100071,2023-10-21,CUST-5970,PROD-1074,4,835.32
73,TXN-100072,2023-12-15,CUST-6517,PROD-1003,2,1051.28
74,TXN-100073,2023-10-24,CUST-6439,PROD-1068,2,1457.5
75,TXN-100074,2023-12-05,CUST-7933,PROD-1039,4,721.32
76,TXN-100075,2023-10-03,CUST-8058,PROD-1007,5,2510.35
77,TXN-100076,2023-12-07,CUST-5380,PROD-1072,2,388.28
78,TXN-100077,2023-11-01,CUST-5254,PROD-1101,5,1072.4
79,TXN-100078,2023-10-26,CUST-7500,PROD-1013,2,1134.96
80,TXN-100079,2023-10-24,CUST-6929,PROD-1090,5,786.9
81,TXN-100080,2023-11-26,CUST-5503,PROD-1065,2,388.52
82,TXN-100081,2023-11-25,CUST-6057,PROD-1015,4,2036.44
83,TXN-100082,2023-11-26,CUST-6302,PROD-1107,3,871.86
84,TXN-100083,2023-10-29,CUST-5351,PROD-1002,2,1260.08
85,TXN-100084,2023-12-07,CUST-7588,PROD-1040,5,2377.65
86,TXN-100085,2023-12-09,CUST-8333,PROD-1027,5,3463.3
87,TXN-100086,2023-10-11,CUST-5963,PROD-1042,5,1002.75
88,TXN-100087,2023-12-16,CUST-6003,PROD-1071,3,608.25
89,TXN-100088,2023-12-15,CUST-6656,PROD-1113,1,540.34
90,TXN-100089,2023-10-24,CUST-6129,PROD-1057,5,1101.95
91,TXN-100090,2023-10-11,CUST-5340,PROD-1052,1,118.12
92,TXN-100091,2023-11-02,CUST-6121,PROD-1011,3,1157.82
93,TXN-100092,2023-12-26,CUST-5999,PROD-1049,1,735.3
94,TXN-100093,2023-10-21,CUST-5244,PROD-1060,1,621.66
95,TXN-100094,2023-12-01,CUST-8183,PROD-1042,4,802.2
96,TXN-100095,2023-10-26,CUST-6124,PROD-1108,2,1311.72
97,TXN-100096,2023-12-16,CUST-5521,PROD-1108,5,3279.3
98,TXN-100097,2023-10-27,CUST-6854,PROD-1094,1,71.79
99,TXN-100098,2023-10-11,CUST-7769,PROD-1091,3,572.1
100,TXN-100099,2023-11-04,CUST-5523,PROD-1032,5,378.85
101,TXN-100100,2023-11-02,CUST-7318,PROD-1062,5,2456.2
102,TXN-100101,2023-12-27,CUST-5307,PROD-1052,2,236.24
103,TXN-100102,2023-12-25,CUST-5200,PROD-1055,1,156.63
104,TXN-100103,2023-10-25,CUST-8499,PROD-1034,3,1204.2
105,TXN-100104,2023-12-03,CUST-7311,PROD-1061,5,3934.65
106,TXN-100105,2023-10-02,CUST-8430,PROD-1051,4,3175.72
107,TXN-100106,2023-10-23,CUST-7884,PROD-1015,1,509.11
108,TXN-100107,2023-10-19,CUST-5265,PROD-1011,4,1543.76
109,TXN-100108,2023-11-17,CUST-7357,PROD-1061,3,2360.79
110,TXN-100109,2023-12-09,CUST-5514,PROD-1015,1,509.11
111,TXN-100110,2023-12-01,CUST-7980,PROD-1050,4,678.08
112,TXN-100111,2023-11-18,CUST-6235,PROD-1021,2,1296.22
113,TXN-100112,2023-10-01,CUST-6182,PROD-1087,5,3844.45
114,TXN-100113,2023-10-01,CUST-7563,PROD-1007,3,1506.21
115,TXN-100114,2023-10-07,CUST-5139,PROD-1116,4,1660.12
116,TXN-100115,2023-11-03,CUST-5821,PROD-1108,1,655.86
117,TXN-100116,2023-10-26,CUST-8251,PROD-1076,1,46.11
118,TXN-100117,2023-11-05,CUST-7099,PROD-1053,1,679.51
119,TXN-100118,2023-10-14,CUST-6369,PROD-1019,4,3186.96
120,TXN-100119,2023-11-08,CUST-5976,PROD-1071,4,811
121,TXN-100120,2023-10-16,CUST-5408,PROD-1116,4,1660.12
122,TXN-100121,2023-11-29,CUST-5701,PROD-1111,2,1145.74
123,TXN-100122,2023-12-30,CUST-5174,PROD-1056,2,815.94
124,TXN-100123,2023-11-18,CUST-5959,PROD-1076,2,92.22
125,TXN-100124,2023-10-30,CUST-7288,PROD-1041,2,265.96
126,TXN-100125,2023-11-26,CUST-8102,PROD-1068,3,2186.25
127,TXN-100126,2023-12-20,CUST-8431,PROD-1092,2,227.28
128,TXN-100127,2023-11-17,CUST-6413,PROD-1000,5,1532.85
129,TXN-100128,2023-12-15,CUST-8196,PROD-1040,3,1426.59
130,TXN-100129,2023-12-27,CUST-6617,PROD-1092,4,454.56
131,TXN-100130,2023-10-24,CUST-5394,PROD-1020,2,823.5
132,TXN-100131,2023-11-05,CUST-5292,PROD-1098,2,609.3
133,TXN-100132,2023-10-27,CUST-6257,PROD-1053,4,2718.04
134,TXN-100133,2023-12-13,CUST-7944,PROD-1102,2,232.78
135,TXN-100134,2023-10-31,CUST-5525,PROD-1080,3,343.02
136,TXN-100135,2023-10-10,CUST-6332,PROD-1066,4,1736.84
137,TXN-100136,2023-12-09,CUST-5510,PROD-1111,3,1718.61
138,TXN-100137,2023-10-08,CUST-7992,PROD-1072,5,970.7
139,TXN-100138,2023-11-10,CUST-6107,PROD-1005,2,314.26
140,TXN-100139,2023-10-01,CUST-6299,PROD-1076,3,138.33
141,TXN-100140,2023-11-25,CUST-7996,PROD-1093,2,1426.78
142,TXN-100141,2023-10-17,CUST-6971,PROD-1033,5,1889.6
143,TXN-100142,2023-11-10,CUST-5432,PROD-1046,2,1014.98
144,TXN-100143,2023-12-31,CUST-7855,PROD-1033,1,377.92
145,TXN-100144,2023-10-30,CUST-6919,PROD-1109,4,2680
146,TXN-100145,2023-12-12,CUST-7095,PROD-1089,2,199.82
147,TXN-100146,2023-11-27,CUST-7561,PROD-1070,1,142.86
148,TXN-100147,2023-10-04,CUST-7265,PROD-1072,3,582.42
149,TXN-100148,2023-11-04,CUST-6803,PROD-1031,5,2590.8
150,TXN-100149,2023-11-20,CUST-6460,PROD-1030,5,3435.65
151,TXN-100150,2023-11-03,CUST-7743,PROD-1045,4,797.4
152,TXN-100151,2023-12-17,CUST-6122,PROD-1076,5,230.55
153,TXN-100152,2023-12-25,CUST-8400,PROD-1087,5,3844.45
154,TXN-100153,2023-10-19,CUST-8161,PROD-1008,2,769.3
155,TXN-100154,2023-10-31,CUST-6553,PROD-1080,2,228.68
156,TXN-100155,2023-12-27,CUST-6642,PROD-1086,3,2092.92
157,TXN-100156,2023-10-21,CUST-5190,PROD-1099,3,1376.94
158,TXN-100157,2023-10-24,CUST-7926,PROD-1072,4,776.56
159,TXN-100158,2023-12-29,CUST-8363,PROD-1017,2,857.4
160,TXN-100159,2023-12-11,CUST-6883,PROD-1078,3,640.02
161,TXN-100160,2023-10-06,CUST-8090,PROD-1080,5,571.7
162,TXN-100161,2023-12-11,CUST-7051,PROD-1080,2,228.68
163,TXN-100162,2023-10-31,CUST-6703,PROD-1012,4,1410.32
164,TXN-100163,2023-10-08,CUST-7484,PROD-1022,2,1538.62
165,TXN-100164,2023-10-20,CUST-5018,PROD-1064,2,1315.48
166,TXN-100165,2023-11-06,CUST-5730,PROD-1061,3,2360.79
167,TXN-100166,2023-10-27,CUST-8245,PROD-1065,5,971.3
168,TXN-100167,2023-12-16,CUST-7963,PROD-1102,2,232.78
